imdb_id,title,type,rating,numVotes,genres,isAdult
tt0073195,Jaws,movie,8,551869,"Adventure,Thriller",0
tt9013182,I Am All Girls,movie,5.8,3283,"Crime,Drama,Mystery",0
tt12343534,Jujutsu Kaisen,tvSeries,8.8,19789,"Action,Adventure,Animation",0
tt1837492,13 Reasons Why,tvSeries,7.6,262439,"Drama,Mystery,Thriller",0
tt0416449,300,movie,7.6,746309,"Action,Drama",0
tt8633478,Run,movie,6.7,50255,"Mystery,Thriller",0
tt3205802,How to Get Away with Murder,tvSeries,8.1,134059,"Crime,Drama,Mystery",0
tt9698442,Behind Her Eyes,tvMiniSeries,7.2,44283,"Drama,Mystery,Thriller",0
tt2267998,Gone Girl,movie,8.1,885630,"Drama,Mystery,Thriller",0
tt10293938,Outer Banks,tvSeries,7.6,21889,"Action,Crime,Drama",0
tt0060028,Star Trek,tvSeries,8.3,75281,"Action,Adventure,Sci-Fi",0
tt10436228,Jurassic World: Camp Cretaceous,tvSeries,7.5,4879,"Action,Adventure,Animation",0
tt9848626,Hotel Transylvania: Transformania,movie,,,"Adventure,Animation,Comedy",0
tt6156584,Snowpiercer,tvSeries,6.9,37925,"Action,Drama,Sci-Fi",0
tt3503406,The Whole Truth,movie,6.2,25821,"Crime,Drama,Mystery",0
tt3609352,Grace and Frankie,tvSeries,8.3,40570,Comedy,0
tt0144084,American Psycho,movie,7.6,509435,"Comedy,Crime,Drama",0
tt1210166,Moneyball,movie,7.6,381204,"Biography,Drama,Sport",0
tt1751634,The Sandman,tvSeries,,,"Action,Adventure,Drama",0
tt1358522,White Collar,tvSeries,8.2,120872,"Comedy,Crime,Drama",0
tt5296406,Designated Survivor,tvSeries,7.5,80188,"Action,Drama,Mystery",0
tt1836037,Longmire,tvSeries,8.3,30128,"Action,Crime,Drama",0
tt2149175,The Americans,tvSeries,8.4,87415,"Crime,Drama,Mystery",0
tt3661210,The Dig,movie,7.1,56763,"Biography,Drama,History",0
tt6878306,News of the World,movie,6.8,65228,"Action,Adventure,Drama",0
tt3566726,Jane the Virgin,tvSeries,7.8,40535,Comedy,0
tt1578873,Pretty Little Liars,tvSeries,7.4,154606,"Drama,Mystery,Romance",0
tt1270797,Venom,movie,6.7,381443,"Action,Adventure,Sci-Fi",0
tt6269368,The Clovehitch Killer,movie,6.6,20132,"Crime,Drama,Mystery",0
tt1637727,The Killing,tvSeries,8.2,100901,"Crime,Drama,Mystery",0
tt1486217,Archer,tvSeries,8.6,140234,"Action,Animation,Comedy",0
tt3397884,Sicario,movie,7.6,382750,"Action,Crime,Drama",0
tt0145487,Spider-Man,movie,7.3,701595,"Action,Adventure,Sci-Fi",0
tt7846844,Enola Holmes,movie,6.6,140708,"Action,Adventure,Crime",0
tt2788432,American Crime Story,tvSeries,8.4,82040,"Biography,Crime,Drama",0
tt13433812,Binsenjo,tvSeries,8.6,5751,"Comedy,Crime,Romance",0
tt0167260,The Lord of the Rings: The Return of the King,movie,8.9,1677017,"Action,Adventure,Drama",0
tt5886046,Escape Room,movie,6.4,94075,"Action,Adventure,Horror",0
tt0077631,Grease,movie,7.2,247935,"Musical,Romance",0
